0.7399996, 0, 0, 37.53633, 5.798958, 0, 9456.133, -891.8635, -2.947957, 0.01947593, 0.1574723, 141.1693, 2.158939, 1.732906, 25.85516
1.159999, 1, -0.1031951, 61.05546, 6.213545, -0.15228286497527932661952, 27032.43, -915.3081, -2.947957, 0.01947593, 0.1574723, 239.684, 2.158939, 1.69655, 26.55954
 
1.169999, 1, -0.09319511, 61.58661, 6.190659, -0.1578671532022561408121494154, 27553.33, -915.8896, -2.947957, 0.01947593, 0.1574723, 242.013, 2.158939, 1.695685, 26.57631
 
1.179999, 1, -0.08319511, 62.1153, 6.167705, -0.16246984865418808405293, 28076.29, -916.4723, -2.947957, 0.01947593, 0.1574723, 244.3301, 2.158939, 1.694819, 26.59308
 
1.189999, 1, -0.07319511, 62.64148, 6.144592, -0.1661076906962662307829405846, 28601.24, -917.0562, -2.947957, 0.01947593, 0.1574723, 246.6355, 2.158939, 1.693954, 26.60985
 
1.199999, 1, -0.06319512, 63.16539, 6.121591, -0.16879831865955224008696, 29128.1, -917.6411, -2.947957, 0.01947593, 0.1574723, 248.9293, 2.158939, 1.693088, 26.62662
 
1.209999, 1, -0.05319512, 63.68628, 6.097979, -0.1705567619740866754465194154, 29656.76, -918.227, -2.947957, 0.01947593, 0.1574723, 251.2112, 2.158939, 1.692222, 26.64339
 
1.219999, 1, -0.04319512, 64.20457, 6.074206, -0.17139877004260656805811, 30187.12, -918.814, -2.947957, 0.01947593, 0.1574723, 253.4811, 2.158939, 1.691357, 26.66017
 
1.229999, 1, -0.03319512, 64.72035, 6.050364, -0.1713392822985618230754105846, 30719.09, -919.4022, -2.947957, 0.01947593, 0.1574723, 255.7392, 2.158939, 1.690491, 26.67694
 
1.239999, 1, -0.02319512, 65.2337, 6.026541, -0.17039305818222822872336, 31252.58, -919.9913, -2.947957, 0.01947593, 0.1574723, 257.9852, 2.158939, 1.689626, 26.69371
 
1.249999, 1, -0.01319512, 65.74432, 6.00247, -0.16857449714753783919877, 31787.5, -920.5815, -2.947957, 0.01947593, 0.1574723, 260.2192, 2.158939, 1.68876, 26.71048
 
1.259999, 1, -0.003195124, 66.25259, 5.978507, -0.16589745866889675804875, 32323.77, -921.1729, -2.947957, 0.01947593, 0.1574723, 262.4412, 2.158939, 1.687894, 26.72725
 
1.269999, 1, 0.006804876, 66.75818, 5.954383, -0.1623772421661049242162, 32861.29, -921.7653, -2.947957, 0.01947593, 0.1574723, 264.6511, 2.158939, 1.687029, 26.74402
 
1.279999, 1, 0.01680488, 67.26122, 5.93019, -0.1580262671681755058183094154, 33399.98, -922.3589, -2.947957, 0.01947593, 0.1574723, 266.8488, 2.158939, 1.686163, 26.76079
 
1.289999, 1, 0.02680488, 67.76165, 5.905925, -0.15285686320753821237138, 33939.74, -922.9536, -2.947957, 0.01947593, 0.1574723, 269.0344, 2.158939, 1.685297, 26.77756
 
1.299999, 1, 0.03680488, 68.25948, 5.881591, -0.14688261976883617209767, 34480.49, -923.5493, -2.947957, 0.01947593, 0.1574723, 271.2078, 2.158939, 1.684432, 26.79433
 
1.309999, 1, 0.04680488, 68.74893, 5.852529, -0.14011514641180082686678, 35020.91, -924.1462, -2.947957, 0.01947593, 0.1574723, 273.3642, 2.158939, 1.683566, 26.8111
 
1.319999, 1, 0.05680487, 69.22458, 5.8136, -0.13257001254599329101472, 35560.57, -924.7441, -2.947957, 0.01947593, 0.1574723, 275.5023, 2.158939, 1.6827, 26.82788
 
1.329999, 1, 0.06680487, 69.69579, 5.774199, -0.12425837774820881412337, 36099.35, -925.3431, -2.947957, 0.01947593, 0.1574723, 277.6221, 2.158939, 1.681835, 26.84465
 
1.339999, 1, 0.07680487, 70.16315, 5.734966, -0.1151938315030932243126, 36637.08, -925.9432, -2.947957, 0.01947593, 0.1574723, 279.7233, 2.158939, 1.680969, 26.86142
 
1.349999, 1, 0.08680487, 70.62592, 5.695353, -0.10538582345228766034126, 37173.43, -926.5443, -2.947957, 0.01947593, 0.1574723, 281.8052, 2.158939, 1.680104, 26.87819
 
1.359999, 0.9864996, 0.09680486, 71.08453, 5.655818, -0.09484461320671678714753, 37708.28, -927.1465, -2.947957, 0.01947593, 0.1574723, 283.8678, 2.158939, 1.679238, 26.89496
 
